state,district,zhDistrict,districtNe,districtMm,districtBe,confirmed,ytdConfirmed,new,dateUpdate,activeCases,ytdActive,newActive,activeDateUpdate,fourteen,YTDfourteen,newFourteen
Selangor,Petaling,八打灵,पेतालिंग,ပတ်တလင်း ,পেতালিং,5966.0,5966.0,0.0,2021-01-09,798.0,798.0,0.0,2021-01-09,12140,10872,1268
Selangor,Gombak,鹅唛,गोम्बक,ဂွမ်းဘတ် ,গোমবাক,2907.0,2907.0,0.0,2021-01-09,503.0,503.0,0.0,2021-01-08,4275,4213,62
Selangor,Klang,巴生,केलंग,ကလန်း ,কেলাং,17767.0,17767.0,0.0,2021-01-10,2527.0,2527.0,0.0,2021-01-10,6913,6313,600
Selangor,Kuala Selangor,瓜拉雪兰莪,कुअला  सेलान्गोर,ကွာလာ ဆလန်ဂေါ,কুয়ালা সেলেঙ্গার,920.0,920.0,0.0,2021-01-09,153.0,153.0,0.0,2020-12-27,1187,1122,65
Selangor,Kuala Langat,瓜拉冷岳,कुअला  लान्गत,ကွာလာ လန်ဂတ်, কুয়ালা লঙ্গাত    ,1627.0,1627.0,0.0,2021-01-09,433.0,433.0,0.0,2021-01-09,1911,1837,74
Selangor,Sepang,雪邦,सेपंग,ဆယ်ပန်း ,সেপাং,2124.0,2124.0,0.0,2021-01-09,524.0,524.0,0.0,2021-01-09,2447,2670,-223
Selangor,Hulu Selangor,乌鲁雪兰莪,हुलु  सेलान्गोर,ဟူလူ ဆလန်ဂေါ,হুলু সেলেঙ্গর,363.0,363.0,0.0,2021-01-09,85.0,85.0,0.0,2021-01-09,1232,1280,-48
Selangor,Sabak Bernam,沙白安南,सबक  बेरनम,ဆာဘတ် ဘာနမ်,সবক বার্নাম,132.0,132.0,0.0,2021-01-08,22.0,22.0,0.0,2021-01-09,156,155,1
Selangor,All,All,All,All,All,39727.0,39727.0,0.0,2021-01-10,6113.0,6113.0,0.0,2021-01-10,39475,37314,2161
Terengganu,Kuala Terengganu,瓜拉登嘉楼,कुअला  तेरेंग्गानु,ကွာလာ တရာန်ဂါနူ,কুয়াালা তেরেংগানু,76.0,76.0,0.0,2021-01-08,18.0,18.0,0.0,2021-01-08,174,184,-10
Terengganu,Besut,勿述,बेसुत,ဘေဆွတ်,বেসুত,84.0,84.0,0.0,2020-12-26,16.0,16.0,0.0,2021-01-08,23,27,-4
Terengganu,Dungun,龙运,दुन्गुन,ဒူဂွန်,দাংগুন,176.0,176.0,0.0,2021-01-08,48.0,48.0,0.0,2021-01-08,147,108,39
Terengganu,Kemaman,甘马挽,केममन,ခါမမန်း,কেমামান,44.0,44.0,0.0,2021-01-08,19.0,19.0,0.0,2021-01-08,19,15,4
Terengganu,Marang,马江,मरांग,မာရန်း,মারাং,43.0,43.0,0.0,2021-01-08,15.0,15.0,0.0,2021-01-08,36,40,-4
Terengganu,Setiu,士兆,सेतिउ,Setiu,সেতিউ,9.0,9.0,0.0,2020-04-09,0.0,0.0,0.0,2020-05-09,7,7,0
Terengganu,Kuala Nerus,瓜拉尼鲁斯,कुअला नेरुस,Kuala Nerus,কুয়ালানেরুস,47.0,47.0,0.0,2021-01-08,11.0,11.0,0.0,2021-01-06,38,49,-11
Terengganu,Hulu Terengganu,乌鲁登嘉楼,हुलु  तेरेंग्गानु,ဟူလူ တရာန်ဂါနူ,হুলু তেরেংগানু,4.0,4.0,0.0,2020-01-24,1.0,1.0,0.0,2020-12-26,3,6,-3
Terengganu,All,All,All,All,All,407.0,407.0,0.0,2020-12-27,129.0,129.0,0.0,2021-01-09,447,436,11
Sabah,Tawau,斗湖,तवौ,တာဝူ ,তাওয়াও,,,33.0,2021-01-09,,,0.0,2020-12-16,295,318,-23
Sabah,Lahad Datu,拿笃,लहड दतु,Lahad Datu,লাহাড দাতু,,,51.0,2021-01-09,,,0.0,2020-12-16,76,74,2
Sabah,Kota Kinabalu,亚庇 ,कोता  किनाबालु,ကိုတာ ကင်နာဘာလူ ,কোটা কিনাবালাউ,,,61.0,2021-01-09,,,0.0,2020-12-16,679,620,59
Sabah,Kinabatangan,京那巴当岸,किनाबतान्गान,ကင်နာဘာတန်ဂန်,কিনাবাতাঙ্গান,,,14.0,2021-01-09,,,0.0,2020-12-15,36,32,4
Sabah,Sandakan,山打根,संदकन,Sandakan,সানদাকুন,,,42.0,2021-01-09,,,0.0,2020-12-16,163,176,-13
Sabah,Tuaran,斗亚兰,टुअरन,Tuaran,তুয়ারান,,,17.0,2021-01-09,,,0.0,2020-12-16,46,46,0
Sabah,Beaufort,保佛 ,बेऔफोर्ट,Beaufort,বিউফোর্ট,,,7.0,2021-01-09,,,0.0,2020-12-16,259,240,19
Sabah,Kota Belud,古打毛律,कोता  बेलुद,Kota Belud,কোটা বেলুদ,,,5.0,2021-01-09,,,0.0,2020-12-16,213,212,1
Sabah,Kunak,古纳,कुनक,Kunak,কুনাক,,,6.0,2021-01-09,,,0.0,2020-12-16,50,59,-9
Sabah,Sipitang,实必丹,सिपितांग,ဆီပီတန်,সিপিতাং,,,17.0,2021-01-09,,,0.0,2020-12-06,0,1,-1
Sabah,Putatan,布达丹,पुतातान,ပူတာတန်,পুতাতান,,,11.0,2021-01-09,,,0.0,2020-12-16,152,135,17
Sabah,Papar,吧巴,पपार,ပါပ့,পাপার,,,11.0,2021-01-09,,,0.0,2020-12-16,78,63,15
Sabah,Ranau,兰瑙 ,रानाउ,Ranau,রানাউ,,,1.0,2021-01-09,,,0.0,2020-12-16,4,4,0
Sabah,Kalabakan,加拉巴干,,,,,,9.0,2020-12-20,,,0.0,2020-12-15,39,39,0
Sabah,Semporna,仙本那,सम्पुर्ण,Semporna,সেম্পুরনা,,,3.0,2020-12-20,,,0.0,2020-12-16,63,61,2
Sabah,Penampang,兵南邦,पेनाम्पंग,Penampang,পেনামপাং,,,34.0,2021-01-09,,,0.0,2020-12-16,85,72,13
Sabah,Tambunan,担布南,तम्बुनान,Tambunan,তাম্বুনান,,,13.0,2021-01-08,,,0.0,2020-12-12,11,11,0
Sabah,Kudat,古达,Kudat,Kudat,Kudat,,,15.0,2021-01-09,,,0.0,2020-12-16,413,382,31
Sabah,Nabawan,那巴湾,Nabawan,Nabawan,Nabawan,,,0.0,2021-01-09,,,0.0,2020-11-11,7,4,3
Sabah,Pitas,必达士,पितास,पितास,পিতাস,,,8.0,2021-01-09,,,0.0,2020-12-16,259,208,51
Sabah,Kota Marudu,马鲁都,कोता मरुदु,ကိုတာ မာရူဒူ,কোটা মারুডু,,,2.0,2021-01-09,,,0.0,2020-12-10,62,62,0
Sabah,Tenom,丹南 ,Tenom,Tenom,Tenom,,,5.0,2020-12-20,,,0.0,2020-12-16,1,1,0
Sabah,Keningau,根地咬,केनिन्गाउ,ကင်နီဂေါင်,কেনিঙ্গাউ,,,35.0,2021-01-09,,,0.0,2020-12-16,75,72,3
Sabah,Kuala Penyu,瓜拉班尤,Kuala Penyu,Kuala Penyu,Kuala Penyu,,,0.0,2021-01-09,,,0.0,2020-11-21,33,31,2
Sabah,Tongod,东革,Tongod,Tongod,Tongod,,,1.0,2021-01-05,,,0.0,2020-12-13,7,9,-2
Sabah,Telupid,特鲁必,Telupid,Telupid,Telupid,,,0.0,2020-12-20,,,0.0,2020-12-16,0,1,-1
Sabah,Beluran,必鲁兰,बेलुरान,ဘေလူရန်,বিেলুরান,,,2.0,2021-01-09,,,0.0,2020-12-16,0,0,0
Sabah,All,All,All,All,All,71791.0,71468.0,323.0,2021-01-09,2653.0,2653.0,0.0,2021-01-09,3106,2933,173
Labuan,Labuan,纳闽,ळबुआन,လာဘူအန်တွင် ,লাবুআন,9002.0,8922.0,80.0,2021-01-08,156.0,156.0,0.0,2020-12-20,1310,1348,-38
Labuan,All,All,All,All,All,9002.0,8922.0,80.0,2021-01-08,156.0,156.0,0.0,2020-12-20,1310,1348,-38
Sarawak,Kuching,古晋,खुचिङ्ग,ကူချင်,কুচিং,790.0,790.0,0.0,2021-01-09,59.0,59.0,0.0,2020-12-27,1043,1001,42
Sarawak,Miri,美里,मिरि,မီရီ,মিন,88.0,88.0,0.0,2021-01-09,25.0,25.0,0.0,2021-01-09,392,399,-7
Sarawak,Betong,木中,बेतोंग,ဗေသွန်း ,বেতংং,17.0,17.0,0.0,2020-04-17,1.0,1.0,0.0,2020-12-29,49,41,8
Sarawak,Limbang,林梦,लिम्बंग,လင်ဗန်း ,লিম্বাং,25.0,25.0,0.0,2020-12-26,0.0,0.0,0.0,2021-01-08,5,5,0
Sarawak,Sarikei,泗里街,षरिकेइ,ဆာရီကေးအိ,সারিকেই,11.0,11.0,0.0,2021-01-05,0.0,0.0,0.0,2021-01-09,172,207,-35
