enName,newCases,weight,YTDweight,myName,zhName,location,status,Deaths,index case,Other notes
Leepang,0,33.0,33.0,Leepang,Leepang,Rompin,active,,,
Kampung Paya Pulai,0,50.0,50.0,Kampung Paya Pulai,Kampung Paya Pulai,Temerloh,,,,
Kabu,0,42.0,42.0,Kabu,Kabu,"Baling, Kuala Muda, Kota Setar, Kulim",active,,,
Jalan Stadium Empat,0,95.0,95.0,Jalan Stadium Empat,Jalan Stadium Empat,"Kota Bharu, Bachok, Pasir Mas, Pasir Puteh, Tumpat",,,,
Jalan Perjiranan Empat,0,181.0,181.0,Jalan Perjiranan Empat,Jalan Perjiranan Empat,"Johor Bahru, Kulai",active,,,
Jalan Canning Estate,0,251.0,251.0,Jalan Canning Estate,Jalan Canning Estate,Kinta,active,,,
Industri Balakong Lapan,0,100.0,100.0,Industri Balakong Lapan,Industri Balakong Lapan,Hulu Langat,active,,,
Indera Mahkota Tiga,0,23.0,23.0,Indera Mahkota Tiga,Indera Mahkota Tiga,Kuantan,,,,
Ara Murni,0,74.0,74.0,Ara Murni,Ara Murni,"Hulu Terengganu, Kuala Nerus, Kuala Terengganu, Marang, Setiu",active,1.0,,
Nanga Kelangas,0,40.0,40.0,Nanga Kelangas,Nanga Kelangas,Julau,active,,,
Meruntum,0,55.0,55.0,Meruntum,Meruntum,"Putatan, Penampang",,,,
Jalan Zainab,0,107.0,107.0,Jalan Zainab,Jalan Zainab,"Pasir Puteh, Bachok, Kota Bharu, Pasir Mas, Tumpat",active,,,
Jalan Kasawari,1,222.0,221.0,Jalan Kasawari,Jalan Kasawari,Kuala Langat,active,,,
Jalan Desaria,0,31.0,31.0,Jalan Desaria,Jalan Desaria,"Sepang, Gombak, Hulu Langat",active,,,
Jalan Bambangan,0,274.0,274.0,Jalan Bambangan,Jalan Bambangan,"Mukah, Dalat",active,,,
Jalan Badarudin,0,19.0,19.0,Jalan Badarudin,Jalan Badarudin,"Kuching, Samarahan",,,,
Abak Bon,0,231.0,231.0,Abak Bon,Abak Bon,"Subis, Miri",active,1.0,,
Pujut Satu,0,28.0,28.0,Pujut Satu,Pujut Satu,Miri,,,,
Kampung Tanjung,0,79.0,79.0,Kampung Tanjung,Kampung Tanjung,"Kuala Nerus, Dungun, Pasir Puteh",active,,,
Kampung Kelanang,0,12.0,12.0,Kampung Kelanang,Kampung Kelanang,"Kuala Langat, Klang",,,,
Jalan Tun Ismail,0,18.0,18.0,Jalan Tun Ismail,Jalan Tun Ismail,"Kepong, Titiwangsa, Cheras, Petaling",,,,
Jalan Padu Industri,0,18.0,18.0,Jalan Padu Industri,Jalan Padu Industri,Johor Bahru,,,,
Jalan Kempas Satu,0,152.0,152.0,Jalan Kempas Satu,Jalan Kempas Satu,Muar,active,,,
Jalan Kapitan,0,35.0,35.0,Jalan Kapitan,Jalan Kapitan,Marudi,,,,
Industri Jalan Kebun,0,44.0,44.0,Industri Jalan Kebun,Industri Jalan Kebun,"Klang, Petaling",active,,,
